id,name,color,rarity,maxStack,description,tags
rupture,Rupture,RED,rare,2,"Les projectiles infligent 20% de dégâts supplémentaires aux ennemis à plus de 100px.","dégâts;distance"
overload,Surcharge,RED,common,3,"+3 Attaque.","stat;dégâts"
critique,Frappe Critique,RED,rare,3,"+15% de chance de tripler les dégâts (cumulable).","dégâts;chance"
echo,Écho,RED,rare,1,"Les attaques rebondissent sur l'ennemi le plus proche (60% dégâts).","dégâts;rebond"
fracture,Fracture,RED,rare,1,"Les ennemis tués explosent → 30% de leurs PV en AoE.","dégâts;aoe;kill"
chain_reaction,Réaction en chaîne,RED,epic,2,"Après chaque kill, prochaine attaque +50%.","dégâts;kill"
tranchant,Tranchant,RED,common,3,"Perce 2 pts de défense ennemie par attaque (cumulable).","dégâts;pénétration"
berserker,Berserker,RED,epic,1,"Sous 30% de PV : ATQ doublée.","dégâts;survie"
cyclone,Cyclone,RED,rare,1,"Chaque attaque frappe aussi les ennemis à portée (50% dégâts).","dégâts;aoe"
ignition,Ignition,RED,rare,2,"Chaque attaque inflige Brûlure : 3 dégâts/s pendant 2s (cumulable).","dégâts;statut;brûlure"
shockwave,Onde de Choc,RED,epic,1,"À chaque kill : étourdit les ennemis proches pendant 1s.","contrôle;statut;stun;kill"
pacte_sang,Pacte de Sang,RED,epic,1,"+8 ATQ — mais −8 PV max.","dégâts;risque"
speedattack,Rafale,RED,rare,2,"-20% de temps entre les attaques (cumulable).","dégâts;vitesse"
barriere,Barrière Adaptative,BLUE,epic,1,"Après avoir subi des dégâts, gagne un bouclier temporaire qui absorbe 10 dégâts pendant 3s (20s de recharge).","défense;bouclier;réactif"
absorb,Absorption,BLUE,common,3,"+2 Défense.","stat;défense"
shield_pulse,Impulsion Bouclier,BLUE,common,1,"Absorbe 1 coup toutes les 8s.","défense;survie"
esquive,Esquive,BLUE,rare,2,"20% de chance d'esquiver une attaque par stack.","défense;chance"
phase_shift,Déphasage,BLUE,rare,1,"+20% de vitesse de déplacement.","mouvement;défense"
resonance,Résonance,BLUE,epic,1,"3 upgrades d'une même couleur → toutes les stats ×1.5.","synergie;couleur"
fortifie,Fortifié,BLUE,epic,1,"Bouclier automatique toutes les 15s.","défense;bouclier"
gelbomb,Gelbomb,BLUE,rare,1,"Chaque attaque gèle la cible 0.5s.","contrôle;statut;gel"
verre_trempe,Verre Trempé,BLUE,epic,1,"+5 DEF — mais −4 ATQ.","défense;risque"
magnet,Aimant,BLUE,common,2,"+50% de rayon de collecte des orbes d'XP.","utilitaire;xp"
symbiose,Symbiose,GREEN,rare,2,"À chaque fois qu’un orbe d’XP est ramassé, soigne 2 PV instantanément.","soin;xp"
vitality,Vitalité,GREEN,common,4,"+4 PV max.","stat;survie"
regen,Régénération,GREEN,common,3,"+0.5 PV/s par stack.","soin;survie"
leech,Vol de vie,GREEN,rare,2,"+1 PV par ennemi tué par stack.","soin;kill"
thorns,Épines,GREEN,rare,2,"Renvoie 2 dégâts à chaque attaquant (cumulable).","riposte;défense"
second_wind,Second Souffle,GREEN,epic,1,"Une fois par run : survie à un coup fatal avec 1 PV.","survie"
overgrowth,Excroissance,GREEN,epic,1,"Chaque upgrade vert → +3 PV instantanés.","soin;synergie"
resistance,Résistance,GREEN,epic,1,"Si PV > 50% : dégâts reçus réduits de 35%.","défense;survie"
contrat_mortel,Contrat Mortel,GREEN,epic,1,"+12 PV max — mais commence chaque vague à 60% de tes PV.","survie;risque"
fragilite,Fragilité,CURSE,curse,1,"☠ MALÉDICTION — −5 PV max et −1 DEF.","malus"
fardeau,Fardeau,CURSE,curse,1,"☠ MALÉDICTION — Chaque attaque ennemie inflige +2 dégâts bonus.","malus"
corruption,Corruption,CURSE,curse,1,"☠ MALÉDICTION — Perd 1 PV toutes les 5s.","malus"
